categorie|marque|nom|nutritionGradeFr|ingredients|energie100g|graisse100g|sucres100g|fibres100g|proteines100g|sel100g|vitA100g|vitD100g|vitE100g|vitK100g|vitC100g|vitB1100g|vitB2100g|vitPP100g|vitB6100g|vitB9100g|vitB12100g|calcium100g|magnesium100g|iron100g|fer100g|betaCarotene100g|presenceHuilePalme|allergenes|additifs|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Céréal,Grill Végétal|Steaks soja & blé saveur barbecue|a|Eau, concentré de protéines de _soja_ 16.6%, huile de tournesol oléique 8.4%, gluten de _blé_ 5.7%, concentré de tomate 3.1%, farine de _soja_ entière 2.9%, fibres de _soja_ 2.9%, vinaigre de cidre, arômes naturels, fibres de _blé_ et plantain 1.5%, sel marin, sucre, extrait de malt d'_orge_, épaississant : méthylcellulose, épices, arôme de fumée. Fabriqué dans un atelier qui utilise du céleri, du sésame, des fruits à coque, des œufs et des produits laitiers.|758|9|1.7|6|18|1.3|||||||||||||||||0|en:gluten,en:celery,en:eggs,en:milk,en:nuts,en:sesame-seeds,en:soybeans|E461 - Méthylcellulose|,,,,
Aliments et boissons à base de végétaux|Céréal,Grill végétal|Escalopes soja & blé|c|Eau, concentré de protéines de _soja_ 14.6%, huiles végétales 9.8%, chapelure de _blé_ 8.9%, gluten de _blé_ 5.1%, farine de _blé_ 3.6%, farine de _soja_ 2.5%, arômes naturels, oignons, sel marin, épaississants : méthylcellulose, fibres de _blé_, plantain 0.6% |1033|13|0.9|5.3|16|1.7|||||||||||||||||0|soja, blé, blé, blé, soja, blé|E461 - Méthylcellulose|,,,,,,,,,,,
Aliments et boissons à base de végétaux|Céréalpes|4 galettes au SON d'AVOINE Nature|a|eau, son d'_avoine_ bio 26.1%, blanc d'_oeuf_ en poudre bio, _lait_ écrémé en poudre bio, poudre levante bio, sel marin|616|2.7|2.3|3.9|8.3|0.8|||||||||||||||||0|avoine, oeuf, lait, blé|E336 - Tartrates de potassium,E500 - Carbonates de sodium,E500ii - Carbonate acide de sodium|,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Céréalpes|Galettes de polenta comté et tomates séchées|b|Polenta 89.9 g, semoule de maïs précuite, Comté 10.4 g, tomates séchées 3.0 g, huile d'olive vierge, basilic. Quantité mise en œuvre pour 100 g de galette. |567|4.3|0.5|2.9|3.6|1.1|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Daco Bello,J'k,Couleurs cuisine|Maïs à éclater|a|Maïs pour pop-corn.|1431|2.8|0|13.6|10|0.1|||||||||||||0.12||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Danival|Concentré de tomate 28%|a|purée de tomates double concentrée**Ingrédients d'origines agricole obtenus selon les règles de production biologique.|512|0.1|0.5|4.7|3|0.1|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Danival|Miso riz|c|soja* français, riz rond mi-complet*, sel marin non raffiné de l'Atlantique, eau, enzyme|605|6.7|3|3.4|9.7|8.3|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Destination Saveurs|Graines de Tournesol Grillées, Salées|d|Graines de tournesol 88%, sel 10%, farine de riz.|1552|24|1.6|45|13|7.5|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Diva,Philippe Charpentier,Fruidor|Carottes Cultivées en France|a|Carottes |153|0.26|4.8||0.8|0.122|0.00121||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Dukan|Galettes de son d'avoine vanillée|a|Son d'avoine hydraté 58%, eau, blanc d'_œufs_ en poudre, _lait_ écrémé en poudre, graines de Iin brun, conservateur, poudres à lever, édulcorants : maltodextrine et sucralose 0.6%, arôme naturel de vanille, sel|501|2.3|2.1|4.2|8.5|1.31|||||||||||||||||0|gluten, œufs, lait, lactose, blé|E262 - Acétates de sodium,E262i - Acétate de sodium,E450 - Sels métalliques de diphosphates,E450i - Pyrophosphate de sodium acide,E500 - Carbonates de sodium,E500i - Carbonate de sodium|,,,,,,,,,,,
Aliments et boissons à base de végétaux|Ebly|Fibres|a|Blé dur précuit.|1545|1.7|1.6|7.6|13|0.03|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Ensemble|Pois cassés|a|Pois cassés|1443|0.8|2.2|19.5|21.7|0|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Esprit de Fête, Carrefour|Pâtes de fruits|c|Pulpes de fruits : Ananas : pulpes de fruits 50%*, Framboise : pulpes de fruits 50%*, Abricot : pulpes de fruits 50%*, Cassis : pulpes de fruits 50%*, Orange : pulpes de fruits 50%*, Poire : pulpes de fruits 50%*, sucre, sirop de glucose, gélifiant : pectines, acidifiant : acide citrique, arômes naturels de fruitsavec autres arômes naturels, colorants : extrait de paprika - complexes cuivre-chlorophylles et cuivre-chlorophyllines - curcumine - anthocyanes. *Pourcentage mis en œuvre pour chaque variété. Parfums Orange, Ananas, Framboise, Cassis, Abricot, Poire.|1502|1.1|68|1|0.5|0.13|||||||||||||||||0||E100 - Curcumine,E141 - Complexe cuivrique des chlorophylles,E160c - Extrait de paprika,E163 - Anthocyanes,E330 - Acide citrique,E440 - Pectines|,,,,,,,
Aliments et boissons à base de végétaux|Esprit de fête, Carrefour|Petits marrons glacés et morceaux|d|Marrons, sucre, sirop de glucose, humectant : sorbitols, gousse de vanille, conservateur : sorbate de potassium.|1349|0.9|46|3|1|0.06|||||||||||||||||0||E202 - Sorbate de potassium,E420 - Sorbitol|,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Favier Milliat|Papillotes de Noël|c|Pulpes de fruits, sucre, sirop de glucose, gélifiant : pectine, acidifiant : acide citrique, arôme naturel d'abricot, arôme naturel de fraise, arôme naturel de cerise, et avec autres arômes naturels, amidon de _blé_.|1464|0.5|76||0.5|0.18|||||||||||||||||0|blé|E330 - Acide citrique,E440 - Pectines,E440i - Pectine|,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Ferme De La Motte|Haricot rouge Bio|a|Haricot Rouge|464|0.525|3.8|7.34|8.52|0.016|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Ferme de la Motte|Lentille verte bio|a|Lentilles vertes.|474|0.55|1.23|4.2|8.1|0.03048|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Ferrari|Betteraves rouges cuites épluchées|a|Betteraves rouges cuites épluchées|184|0.1|6.7|2.3|2.3|0.14|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Ferrari|Betterave rouge cuite sous vide|a|Betteraves rouges|183|0.5|6.7|2.3|2.3|0.14|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Flamant Vert|Barres Bio aux Noisettes, Miel, Spiruline et Chocolat Noir|e|_Noisettes_ 43%, chocolat noir 24%, miel 22%, fibre d'acacia, spiruline L'algue Bleue des Andes 3%.|2184|37.7|27.2||10.1|0.11|||||||||||||0.129||0.0063||0|Fruits à coque, Noisettes, fruits à coques||,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Florette|Salade|a|Salade composée|113|0.2|0||1.1|0|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Florette|Mini Melange De Saison|a|Frisée, chicorée rouge, mâche et roquette en proportion variable.|54|1.7|0.49||0.98|0|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Freshona|Betteraves rouges, entières, cuites à la vapeur|a|100% betterave rouge|180|0.5|6.7||2.3|0.14|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Gerblé|Galettes Son d'avoine vanillées|a|Eau, son d’avoine 26%, sucre de canne roux, _lait_ écrémé en poudre, blanc d'_oeuf_ en poudre, arôme naturel de vanille, poudres à lever, sel marin, amidon de blé. Fabriqué dans un atelier qui utilise du sésame, de la moutarde, du céleri et des fruits à coque.|750|1.9|9.2|5|8.5|0.6096|||||||||||||||||0|lait, oeuf|E336 - Tartrates de potassium,E500 - Carbonates de sodium,E500ii - Carbonate acide de sodium|,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Gerblé|Son d'Avoine Gerblé|a|Son d'Avoine|1473|6.7|1|16|16|0||||||0.00046|||0.0006|2.9e-05|||0.185||0.0045||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Gillet Contres|Lentilles vertes du Val de loire|a|Lentilles vertes, eau, sel de mer.|1222|0.6|1.2|4.2|8.1|0.6|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Grain de Vitalité|Pois Chiches|a|Pois chiches|1243|1.2|2.3|18|21.2|0.0499999999999999|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Grain de Vitalité|Pois chiches|b|Pois chiches|1723|6.1|10.8||19.1|0.05|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Grain de frais|Boulgour fin|a|Blé dur précuit à la vapeur.|390|1.3|0.5|12|12|0.04|||||||||||||||||0|en:gluten||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Grand Frais,Grain de frais|Quinoa|a|graines de quinoa.|1598|6.1|4.1|2.8|14|0.01|4.2e-05||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Grand Jury|Pâte à tarte brisée|d|Farine de blé, matières grasses végétales non hydrogénées, eau, alcool éthylique, sucre, sel, jus de citron concentré, agent de traitement de la farine : L-cystéine.|1736|23|2.8|1.1|6.3|0.93|||||||||||||||||1||E1510 - Éthanol,E160 - Caroténoïdes,E920 - L-Cystéine et ses chlorhydrates|,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Grand Jury|Pate Feuilletee Deroulee Perlor|d|Farine de _blé_, matières grasses végétales non hydrogénées, eau, alcool éthylique, sel, jus de citron concentré, agent de traitement de la farine L-cystéine.|1653|23|0.8|1|5.9|0.98|||||||||||||||||1|en:gluten|E1510 - Éthanol,E160 - Caroténoïdes,E920 - L-Cystéine et ses chlorhydrates|,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Gretel|Amandes de Californie Fumées|c|_Amandes_, huile de _cacahuètes_, glucose de maïs, sel, sucre, farine de blé, extrait de levure, arômes 0.2 %, saveur fumée), sucre caramélisé, poudre d'oignon, acide citrique, extrait de paprika.|2418|50.5|5.2||19.7|0.5|||||||||||||||||0||E160c - Extrait de paprika,E330 - Acide citrique|,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Grillon D'or|Galettes de Riz au Chocolat au Lait|d|Chocolat au lait 58%, riz* 42% Ingrédients issus de l'Agriculture Biologique.|2067|24|26|3.2|8.1|0.1|||||||||||||||||0|lait||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Grillon d'Or|Galettes de riz chocolat noir|d|Chocolat noir* 57%, riz 48%. *Ingrédients issus de l'Agriculture Biologique.|2021|24|18|6.2|8.5|0.05|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Grillon d'Or|Protéines de Soja petit|a|_Soja_ texturé issus de l'Agriculture Biologique.|1439|6.6|11.7|17.4|48.8|0.4|||||||||||||||||0|en:soybeans||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Grillon d'Or,Céréco|Galettes Riz Complet|a|Riz complet 79.8%, riz, sel.|1632|3|1|3.4|7.5|0.1|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|H. Moinet|Pâtes de fruits d'Auvergne|c|Pulpes de fruits, sucre, sirop de glucose, pectine, arômes : abricot, cassis, framboise, orange, prune, acide citrique, colorants : E120. E141. E153. E161b.|1435|0.1|62|1.1|0.4|0.07|||||||||||||||||0||E120 - Acide carminique,E141 - Complexe cuivrique des chlorophylles,E153 - Charbon végétal médicinal,E161b - Lutéine,E330 - Acide citrique,E440 - Pectines,E440i - Pectine|,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|HERTA|Pâte feuilletée|d|Farine de blé, margarine végétale, eau, vinaigre de cidre, alcool, gluten de blé, sucre de canne, sel, levure|1602|21|3.3|2|5.8|1.1|||||||||||||||||1|en:gluten||,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Happy Bio,HappyBio|Quinoa blanc|a|Quinoa|1590|5.1|4.3|6.3|12.8|0.1|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Hautdecoeur,Haudecoeur|Semoule Orge Grosse 1 Kg,|a|_Orge_|1431|2|2.3|8|10|0|||||||||||||||||0|Orge||,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Herta|La petite tarte feuilletée pur beurre|d|Farine de _blé_, eau, _beurre_ concentré 20%, alcool, sel, jus de citron concentré, levure désactivée|1634|20|2|1.2|6.3|0.9|||||||||||||||||0|blé, beurre||,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Herta|Tarte en Or feuilletée -30% de Mat. Gr.|d|Farine de _blé_, eau, huiles végétales, jus de citron concentré, sel, alcool, fruits et légumes concentrés, levure.|1469|16|0.3|1.1|6.6|1.1|||||||||||||||||1|en:gluten||,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Horeca|Tagliatelles aux 5 œufs frais|b|Semoule de _blé_ dur de qualité supérieure, 230g d’_œufs_ frais par kilo de semoule.|1525|3.8|3||14|0.5|||||||||||||||||0|blé, œufs||,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|J.P. Cloteau|Flocons d’avoine|a|Avoine|1540|7|1|9.3|13.26|0.03|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|JP Cloteau|Graines de Sarrasin Issu de l'Agriculture Biologique|a|Graines de sarrasin décortiquées biologiques.|1456|2.6|2.8||12|0.02|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Jardin BIO|Petit Épeautre|a|Petit épeautre bio.|1464|3.6|2.5|9.8|13.2|0.1|||||||||||||0.15||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Jardin Bio,LEA Nature|Couscous complet grain moyen bio|a|semoule semi-complète de blé dur - issue de l'agriculture biologique.|1473|1.5|2.3|7.4|12|0.1|||||||||||||0.083||0.003||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Jardin Bio,LEA Nature|Lentilles vertes Bio|a|lentilles vertes sèches issues de l'agriculture biologique - 100% origine France|1604|1.1|6.4|18|24.4|0.0254|||||||||||||0.0998||0.0076||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Jardin Bio,Léa Nature|Haricots coco cuisinés|a|eau, haricots blanc sec trempés 38%, oignons en morceaux 7.8%, carottes en morceaux 6%, huile de tournesol, sel marin, purée d'ail, thym, laurier, poivre noir|427|0.7|10.3|5.1|5.6|0.25|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Jardin Bio,Léa Nature|Maïs à pop corn|a|Maïs à pop corn sans OGM bio.|1531|4.7|0.6|7.3|9.4|0.1|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Jardin Bio,Léa Nature|Lentilles vertes irigine Vendée|a|Lentilles vertes sèches issues de l'agriculture biologique.|1280|1.1|6.4|18|24|0.01|||||||||||||0.0998||0.0076||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Jardin Bio,Léa Nature|Mélange gourmand à poêler|a|Riz complet précuit* 38%, lentilles vertes précuites* 28%, ﬂocons de _seigle_* 10%, ﬂocons d'_orge_* 10%, graines* 8%, oignons frits*. *Produits issus de l'agriculture biologique.  |1608|8.5|1.8|15|16|0.02|||||||||||||0.14||||0|seigle, orge, sésame||,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Jardin bio logique,Jardin Bio',Léa Nature|Galettes de maïs sans gluten|a|maïs soufflé, sel. |1644|0.9|0.1|2.6|8|0.3|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Jardin bio,Léa Nature|Semoule de maïs pour polenta|a|Semoule de maïs issue de l'agriculture biologique.|1547|1.5|1.6|4|7.9|0.017|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Jean Hervé|Caroube|b|Caroube en poudre*. *: Issu de l'agriculture biologique.|2318|4|38.1|18.9|4.9|0.03|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Jean Hervé|Sésame noir toasté|c|Sésame noir*. *Issu de l'agriculture biologique.|2364|51|0.2|11.2|17.7|0.112|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Jean-Louis Bassinet|Graine de sésame|d|SÉSAME blanche.|2335|50|0.3||18|0.3|||||||||||||||||0|SÉSAME||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Jean-Louis Bassinet|Lamelles d'orange confites|c|Écorces d'orange, sirop de glucose, fructose, saccharose, correcteur d'acidité E330. conservateur E220 ANHYDRIDE SULFUREUX.|130|5.5|48||1|0.1|||||||||||||||||0||E220 - Anhydride sulfureux,E330 - Acide citrique|,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Jean-Louis Bassinet|Pavés de Pâtes de Fruits Qualité Auvergne|c|Pulpes de fruits, sucre, sirop de glucose, gélifiant : pectine, arômes naturels, acidifiant : jus de citron, colorants naturels : anthocyanes, extrait de paprika, chlorophylle cuivrique.|1368|0.2|71|0|0.7|0|||||||||||||||||0||E141 - Complexe cuivrique des chlorophylles,E141i - Complexes cuivriques de chlorophylles,E160c - Extrait de paprika,E163 - Anthocyanes,E440 - Pectines,E440i - Pectine|,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Jean-Louis Bassinet|Pâtes de fruits barres qualité Auvergne|c|Pulpes de fruits, sucre, sirop de glucose, gélifiant : pectine, acidifiant : jus de citron, arôme naturel, colorants : chlorophyllines cuivrique, extrait de curcumin, anthocyanes, extrait de paprika.|1368|0.2|71||0.8|0.15|||||||||||||||||0||E140 - Chlorophylles,E140ii - Chlorophyllines,E160c - Extrait de paprika,E163 - Anthocyanes,E440 - Pectines,E440i - Pectine|,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Jean-Louis Bassinet|Pralines amandes rouges|d|Sucre, AMANDES, sirop de glucose, gélifiant E414. colorants E160ai, carmins, arôme.|1749|5.3|77.1||0|0.0899999999999999|||||||||||||||||0|AMANDES|E120 - Acide carminique,E160 - Caroténoïdes,E160a - Bêta-carotène,E160ai - Bêta-carotène,E414 - Gomme d'acacia|,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Jean-Louis Bassinet|Macédoine Confite|c|Papaye, cube d'orange, cerise, sirop de glucose, fructose et saccharose, conservateur : E202. E220 ANHYDRIDE SULFUREUX, E330. E120. E150a, E133. E127.|1213|0.5|60||1|0|||||||||||||||||0||E120 - Acide carminique,E127 - Érythrosine,E133 - Bleu brillant FCF,E150a - Caramel E150a,E202 - Sorbate de potassium,E220 - Anhydride sulfureux,E330 - Acide citrique|,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Jean-Louis Bassinet|Lamelles de citron confit|c|Écorces de citron, sirop de glucose, fructose, saccharose, correcteur d'acidité E330. conservateur E220 ANHYDRIDE SULFUREUX.|1297|0.5|48||1|0.1|||||||||||||||||0||E220 - Anhydride sulfureux,E330 - Acide citrique|,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|L'artisan Provençal|Gros Morceaux De Marrons Glacés|d|Marrons, sucre, sirop de glucose, humectant : sorbitol, vanille en gousses, conservateur : E202.|1331|0.9|46||1|0.06|||||||||||||||||0||E202 - Sorbate de potassium,E420 - Sorbitol,E420i - Sorbitol|,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|La Belle du Jardin|Carottes|a|Carottes|138|0|6.5|3.2|0.4|0|0.001067||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|La Maison du Chocolat|Pâtes de Fruits Assorties|d|Pulpes de fruits 60 %, sucre, sirop de glucose, sucre inverti, pectine de pomme, jus de citron, arôme naturel de fruit.|1453|0|77||0|0.1|||||||||||||||||0||E440 - Pectines,E440i - Pectine|,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|La Mandorle|Mati'Mande|a|Amandes instantanées 35%, sirop de riz* déshydraté, fibre d'acacia*, arôme naturel de vanille*), céréales* 35%, sirop de riz* déshydraté, fécule de riz*, algue Lithothamnium Calcareum 2%, arôme naturel d'orange*. *ingrédients issus de l'agriculture biologique.|1264|6|6|7|15|0.04||||||||0.00352||||0.841|0.21||0.00763||0|en:gluten||,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|La Patelière|Fruits confits assortis|c|Fruits : pastèques - bigarreaux - écorces d'orange - angéliques, sirop de glucose-fructose, eau, sucre, conservateurs : sorbate de potassium - _sulﬁtes_, correcteur d’acidité : acide citrique, colorants : carmin - complexes cuivre-chlorophylies — lutéine. |1271|0.1|63||0.1|0.1|||||||||||||||||0|sulﬁtes|E120 - Acide carminique,E141 - Complexe cuivrique des chlorophylles,E161b - Lutéine,E202 - Sorbate de potassium,E330 - Acide citrique|,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|La Patelière|Cubes d'Écorces d'Oranges Confits|d|Écorces d'oranges, sucre de canne clair, sirop de blé, eau, acidifiant : acide citrique.|1284|0.03|60.3|0|0.5|0.05|||||||||||||||||0||E330 - Acide citrique|,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|La Patelière|Mélange Pâtissier|c|Écorces d'orange, cerises, écorces de citron, sirop de blé, eau, sucre de canne blond, correcteur d'acidité : acide citrique.|1297|0.2|54|0|0.6|0.02|||||||||||||||||0||E330 - Acide citrique|,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|La Toque Du Chef,Crusti Frais|Pâte brisée|d|Farine de blé, huiles végétales, eau, sel, alcool, jus de citron concentré, beurre concentré, agent de traitement de la farine : L-cystéine , colorant : bêta-carotène.|1648|21|2.7|0.9|6.2|0.9|||||||||||||||||1||E160a - Bêta-carotène,E160ai - Bêta-carotène,E920 - L-Cystéine et ses chlorhydrates|,,,,,,,,,,,,,,,,,,
